lng,lat,人均价格,星级,口味,环境,服务
121.375489,31.241446,47,3.6,3.5,3.4,3.4
121.407025,31.280913,120,4,4,4.1,4.2
121.411518999999,31.288619,97,3.8,4,3.8,3.8
121.380307,31.252873,85,3.8,3.8,3.6,3.7
121.419199,31.282177,117,3.8,3.8,3.6,3.4
121.392523999999,31.297509,306,3.7,3.7,3.8,3.8
121.345314999999,31.272278,63,3.5,3.5,3.5,3.5
121.355486999999,31.2379859999999,67,3.7,3.7,3.7,3.7
121.407759999999,31.270033,32,3.2,3.6,3.7,3.5
121.380185999999,31.247836,33,3.8,4,3.9,3.8
121.427117999999,31.236802,198,3.6,3.5,3.6,3.4
121.517318,31.126729,117,3.8,3.7,3.5,3.7
121.502367,31.128297,111,4.6,4.5,4.6,4.5
121.493932,31.1222099999999,82,3.7,3.7,3.7,3.7
121.502408,31.128398,79,3.9,3.9,4,4
121.50163,31.127841,94,3.6,3.6,3.7,3.6
121.309787999999,31.206753,99,3.6,3.5,3.7,3.6
121.331322999999,31.137656,179,4.4,4.3,4.7,4.4
121.522463999999,31.1288209999999,102,4.2,4.2,3.9,4
121.336749999999,31.0628129999999,108,3.5,3.6,3.5,3.5
121.350431,31.101496,99,3.9,3.9,3.9,4
121.500106,31.1234299999999,103,4,4.1,4.1,4.1
121.299189999999,31.201754,112,3.7,3.7,3.7,3.7
121.503241,31.125332,62,3.7,3.7,3.6,3.7
121.504935,31.1263539999999,66,3.3,3.5,3.4,3.4
121.205095999999,31.015552,60,3.6,3.6,3.6,3.6
121.418529,31.286082,131,4.8,4.8,4.8,4.8
121.422549,31.2301779999999,177,4.1,4,4.1,4.2
121.449834999999,31.220894,246,4.6,4.7,4.2,4.4
121.461752,31.229702,103,3.6,3.8,3.9,3.7
121.421826999999,31.282333,89,4.2,4.2,4.5,4.2
121.42279,31.2789369999999,51,3.6,3.6,3.4,3.6
121.461922999999,31.227288,311,4.6,4.7,4.6,4.7
121.422439999999,31.230217,51,3.9,3.9,3.9,4
121.477435999999,31.2452359999999,2052,4.8,4.8,4.7,4.8
121.441849,31.320652,111,3.9,4,4.1,4.1
121.433784,31.318576,70,3.8,3.7,3.7,3.7
121.42122,31.282097,72,3.5,3.6,3.8,3.6
121.341448999999,31.196908,102,3.6,3.6,3.6,3.6
121.368154,31.1897209999999,248,4,3.9,3.9,3.9
121.418963,31.197531,188,4.5,4.6,4.5,4.5
121.404161,31.187501,173,4,3.9,4,4
121.392247999999,31.190121,112,3.8,3.8,3.9,3.8
121.42382,31.19931,258,4.1,4,4,4.2
121.384281,31.184472,662,4.9,4.9,4.9,4.8
121.382919,31.189243,382,4.9,4.9,4.8,4.9
121.372299999999,31.1937299999999,2284,4.6,4.6,4.6,4.7
121.399152999999,31.192475,184,3.7,3.6,3.6,3.6
121.379552,31.192515,210,3.9,3.8,3.8,3.9
121.341718999999,31.19527,58,3.7,3.8,3.8,3.8
121.422562999999,31.230599,32,3.9,3.9,3.9,3.9
121.365182,31.1937,18,3.5,3.5,3.5,3.5
121.468328,31.1939889999999,145,3.5,3.5,3.7,3.7
121.4514,31.121504,105,4.1,4.2,4.1,4.1
121.468577999999,31.1943759999999,201,3.6,3.7,4,3.8
121.453998999999,31.218207,84,4.8,4.8,4.6,4.7
121.455155,31.216943,419,4.7,4.7,4.7,4.6
121.455175999999,31.2168339999999,634,4.8,4.8,4.8,4.8
121.455105,31.216854,368,4.7,4.8,4.3,4.6
121.423404,31.158683,45,4,3.9,3.8,4
121.456288999999,31.20927,2096,4.7,4.7,4.5,4.6
121.453522,31.214462,104,3.6,3.6,3.6,3.6
121.455072999999,31.216842,2807,4.6,4.5,4.3,4.7
121.456278999999,31.20926,806,4.2,4.3,4.2,4.3
121.39381,31.166253,30,3.7,3.8,3.8,3.7
121.497732999999,31.2757359999999,101,4.5,4.5,4.5,4.6
121.509084,31.262713,123,4.5,4.4,4.5,4.5
121.51209,31.253492,125,4.3,4.6,4.5,4.4
121.499087,31.2623479999999,273,4.3,4.3,4.7,4.6
121.508049999999,31.263071,102,4.3,4.2,4.4,4.3
121.512381,31.251677,726,4.7,4.8,4.8,4.8
121.512201,31.251694,315,4.4,4.4,4.5,4.4
121.512201,31.251694,315,4.7,4.6,4.6,4.6
121.507427,31.263593,30,3.6,3.7,3.8,3.8
121.485789999999,31.24633,131,3.9,3.9,3.9,3.9
121.379062,31.243109,340,4.7,4.8,4.9,4.8
121.361642,31.2390809999999,130,4.8,4.8,4.8,4.8
121.379416,31.246897,80,4.6,4.6,4.7,4.5
121.417501999999,31.283289,60,4.3,4.3,4.3,4.4
121.379011,31.2440019999999,125,4.6,4.6,4.6,4.6
121.409357,31.272648,116,4.5,4.4,4.4,4.5
121.372394999999,31.248072,139,4,4,4.3,4.3
121.375919999999,31.24603,172,4.7,4.7,4.5,4.6
121.409418,31.2723489999999,118,4.6,4.6,4.4,4.7
121.406597,31.274428,92,4.3,4.2,4.2,4.3
121.376137999999,31.2459479999999,125,3.8,3.7,3.8,3.8
121.41602,31.272471,87,4.3,4.3,4.1,4.4
121.408572,31.274113,116,3.9,3.9,3.9,3.9
121.409619,31.27333,129,4.4,4.5,4.5,4.6
121.406757999999,31.27241,64,3.6,3.6,3.6,3.5
121.379018,31.2473379999999,32,3.9,4,4,4
121.407348999999,31.272537,71,3.8,3.9,3.8,4
121.378838999999,31.2440299999999,1556,3.9,4.2,4.2,4.3
